dp_name,dp_id,c1,c2,c3,c4,c5,c6,c7
delete.notification.self,1001,delete,,,notification,self,,ReadWrite
display.useraccount.self,1002,display,blocked,,useraccount,self,,Read
display.useraccount.self,1003,display,devicefollowed,,useraccount,self,,Read
display.list.self,1004,display,followed,,list,self,,Read
display.useraccount.self,1005,display,followed,,useraccount,self,,Read
display.tweet.geolocation,1006,display,inferred,,tweet,geolocation,,Read
display.conversation.self,1007,display,muted,,conversation,self,,Read
display.tweet.self,1008,display,muted,,tweet,self,,Read
display.useraccount.self,1009,display,muted,,useraccount,self,,Read
display.tweet.self,1010,display,promoted,,tweet,self,,Read
display.tweet.self,1011,display,protected,,tweet,self,,Read
display.tweet.self,1012,display,public,,tweet,self,,Read
display.tweet.geolocation,1013,display,userspecified,,tweet,geolocation,,Read
display.dm.self.[count],1014,display,,,dm,self,count,ReadWriteDM
display.list.self,1015,display,,,list,self,,Read
display.notification.self,1016,display,,,notification,self,,Read
display.notification.timestamp,1017,display,,,notification,timestamp,,Read
display.tweet.annotations,1018,display,,,tweet,annotations,,Read
display.tweet.device,1019,display,,,tweet,device,,Read
display.tweet.language,1020,display,,,tweet,language,,Read
display.tweet.media,1021,display,,,tweet,media,,Read
display.tweet.reply,1022,display,,,tweet,reply,,Read
display.tweet.self.[count],1023,display,,,tweet,self,count,Read
display.tweet.self,1024,display,,,tweet,self,,Read
display.tweet.takedowns,1025,display,,,tweet,takedowns,,Read
display.twittercomm.text,1026,display,,,twittercomm,text,,Read
display.useraccount.handle,1027,display,,,useraccount,handle,,Read
display.useraccount.self,1028,display,,,useraccount,self,,Read
display.useraccount.takedowns,1029,display,,,useraccount,takedowns,,Read
display.useraccount.userinteractions,1030,display,,,useraccount,userinteractions,,Read
update.notification.timestamp,1031,update,,,notification,timestamp,,ReadWrite
read.useraccount.id,1032,read,,,useraccount,id,,Read
read.notification.email-type (notification categories),1033,read,,,notification,email-type (notification categories),,Read
display.auth.code,1034,display,2FA,,auth,code,,Read
read.auth.hash,1035,read,SHA2,,auth,hash,,Read
read.auth.hash,1036,read,MD5,,auth,hash,,Read
